sensorId,facilityId,metric,value,unit,timestamp,anomaly
SEN-053,FAC-011,conductivity_us,425.21,µS/cm,2025-10-27T20:07:31.198868,False
SEN-097,FAC-020,conductivity_us,514.5,µS/cm,2025-11-24T10:11:57.411666,False
SEN-041,FAC-009,chlorine_mg_l,0.72,mg/L,2025-10-01T09:34:40.685243,False
SEN-082,FAC-017,pressure_bar,4.46,bar,2026-02-16T23:09:21.294957,False
SEN-049,FAC-011,flow_rate_m3h,458.03,m³/h,2025-11-22T19:10:59.439793,False
SEN-098,FAC-020,turbidity_ntu,2.54,NTU,2025-12-16T17:13:13.479929,False
SEN-068,FAC-014,dissolved_o2,4.29,mg/L,2026-01-18T16:00:41.784545,False
SEN-054,FAC-012,dissolved_o2,9.92,mg/L,2026-01-27T13:22:27.414578,False
SEN-024,FAC-005,flow_rate_m3h,456.4,m³/h,2025-11-14T10:17:57.396686,False
SEN-076,FAC-016,ph,6.3,pH,2026-01-08T00:26:26.941833,True
SEN-026,FAC-006,chlorine_mg_l,1.34,mg/L,2025-10-16T21:25:41.800916,False
SEN-093,FAC-020,flow_rate_m3h,428.26,m³/h,2026-02-13T05:29:19.565703,False
SEN-036,FAC-008,temperature_c,5.48,°C,2025-11-28T07:54:05.193512,False
SEN-063,FAC-013,dissolved_o2,6.3,mg/L,2026-02-26T00:18:15.774605,False
SEN-029,FAC-006,conductivity_us,288.5,µS/cm,2025-10-12T10:09:02.956300,False
SEN-045,FAC-010,ph,6.86,pH,2026-01-11T11:51:40.092719,False
SEN-020,FAC-004,ph,8.05,pH,2025-12-25T20:02:51.838997,False
SEN-045,FAC-010,ph,7.01,pH,2026-02-03T07:39:02.961994,False
SEN-059,FAC-012,turbidity_ntu,0.27,NTU,2026-02-16T18:01:01.181593,False
SEN-088,FAC-019,chlorine_mg_l,0.51,mg/L,2025-12-17T08:54:54.712405,False
SEN-004,FAC-001,turbidity_ntu,2.64,NTU,2025-10-04T19:55:26.194463,False
SEN-045,FAC-010,ph,8.0,pH,2026-02-04T01:55:14.618441,False
SEN-056,FAC-012,conductivity_us,351.55,µS/cm,2025-11-20T23:20:42.664710,False
SEN-029,FAC-006,conductivity_us,665.72,µS/cm,2025-12-14T22:37:03.106194,False
SEN-011,FAC-002,chlorine_mg_l,1.23,mg/L,2025-11-17T12:26:30.511445,False
SEN-033,FAC-007,dissolved_o2,4.53,mg/L,2025-12-24T10:27:51.755991,False
SEN-071,FAC-015,ph,7.09,pH,2026-01-22T18:22:21.550944,False
SEN-023,FAC-005,pressure_bar,5.28,bar,2025-10-27T23:38:58.977765,False
SEN-086,FAC-018,conductivity_us,243.33,µS/cm,2026-01-26T22:05:53.539633,False
SEN-024,FAC-005,flow_rate_m3h,500.5,m³/h,2025-11-23T03:10:28.197472,True
SEN-015,FAC-003,ph,8.25,pH,2025-12-22T03:09:20.520661,False
SEN-016,FAC-003,conductivity_us,294.75,µS/cm,2025-12-31T02:11:54.190196,False
SEN-022,FAC-005,ph,6.59,pH,2025-11-19T03:23:42.595952,False
SEN-008,FAC-002,turbidity_ntu,0.91,NTU,2026-01-15T20:50:21.988494,False
SEN-036,FAC-008,temperature_c,17.0,°C,2025-11-04T18:03:42.206067,False
SEN-077,FAC-016,chlorine_mg_l,0.3,mg/L,2026-01-31T18:00:31.306292,False
SEN-089,FAC-019,dissolved_o2,6.92,mg/L,2026-01-20T06:43:43.505126,False
SEN-022,FAC-005,ph,7.7,pH,2026-01-31T02:42:06.252161,False
SEN-031,FAC-007,conductivity_us,503.5,µS/cm,2025-11-12T06:10:19.838990,False
SEN-007,FAC-002,ph,8.36,pH,2026-02-23T22:28:43.953207,False
SEN-087,FAC-018,flow_rate_m3h,292.73,m³/h,2025-11-28T22:44:40.725357,False
SEN-033,FAC-007,dissolved_o2,8.67,mg/L,2025-11-09T21:39:42.522038,False
SEN-094,FAC-020,ph,7.21,pH,2025-12-18T16:21:44.637327,False
SEN-025,FAC-006,flow_rate_m3h,110.52,m³/h,2025-12-01T15:11:34.171626,False
SEN-033,FAC-007,dissolved_o2,6.3,mg/L,2025-12-01T17:16:22.460742,False
SEN-032,FAC-007,temperature_c,16.82,°C,2025-10-08T00:30:29.758767,False
SEN-041,FAC-009,chlorine_mg_l,0.8,mg/L,2025-10-09T14:00:50.606477,False
SEN-035,FAC-007,ph,7.52,pH,2025-12-14T08:04:44.454351,False
SEN-014,FAC-003,temperature_c,5.55,°C,2025-11-17T05:49:51.945161,False
SEN-072,FAC-015,temperature_c,9.23,°C,2025-12-13T05:36:56.945460,False
SEN-014,FAC-003,temperature_c,6.04,°C,2025-11-07T23:17:06.192575,False
SEN-033,FAC-007,dissolved_o2,9.53,mg/L,2025-12-25T04:48:01.120402,False
SEN-089,FAC-019,dissolved_o2,5.0,mg/L,2026-02-18T22:45:31.991059,False
SEN-092,FAC-019,flow_rate_m3h,99.8,m³/h,2025-11-29T04:08:40.491788,True
SEN-087,FAC-018,flow_rate_m3h,375.12,m³/h,2026-02-15T07:17:02.770636,False
SEN-068,FAC-014,dissolved_o2,9.39,mg/L,2025-12-13T00:20:53.097462,False
SEN-027,FAC-006,pressure_bar,5.12,bar,2025-12-29T19:57:06.616487,False
SEN-052,FAC-011,dissolved_o2,4.04,mg/L,2025-10-21T06:21:42.678667,False
SEN-051,FAC-011,pressure_bar,2.23,bar,2025-11-13T19:51:50.743841,False
SEN-061,FAC-013,ph,6.8,pH,2025-12-23T17:59:02.512221,False
SEN-070,FAC-015,turbidity_ntu,-0.34,NTU,2025-12-15T03:51:16.051655,True
SEN-020,FAC-004,ph,8.22,pH,2026-01-27T13:51:40.884690,False
SEN-087,FAC-018,flow_rate_m3h,350.06,m³/h,2025-10-01T17:05:22.930619,False
SEN-028,FAC-006,turbidity_ntu,3.09,NTU,2025-10-18T13:04:48.497322,False
SEN-003,FAC-001,dissolved_o2,8.86,mg/L,2026-01-15T06:47:08.678629,False
SEN-062,FAC-013,flow_rate_m3h,249.39,m³/h,2026-01-12T11:47:13.954478,False
SEN-056,FAC-012,conductivity_us,373.8,µS/cm,2025-12-23T20:06:37.445203,False
SEN-007,FAC-002,ph,7.98,pH,2025-12-04T02:28:24.003167,False
SEN-052,FAC-011,dissolved_o2,4.56,mg/L,2025-11-17T06:21:21.907781,False
SEN-034,FAC-007,chlorine_mg_l,1.2,mg/L,2025-11-07T06:34:35.889924,False
SEN-032,FAC-007,temperature_c,22.73,°C,2025-10-24T12:14:07.170442,False
SEN-066,FAC-014,chlorine_mg_l,1.3,mg/L,2025-10-02T17:07:35.801326,False
SEN-080,FAC-017,turbidity_ntu,1.43,NTU,2025-12-29T21:53:46.022175,False
SEN-018,FAC-004,conductivity_us,729.48,µS/cm,2025-11-29T13:40:24.857453,False
SEN-067,FAC-014,flow_rate_m3h,492.67,m³/h,2025-10-29T05:32:29.998007,False
SEN-077,FAC-016,chlorine_mg_l,1.71,mg/L,2026-02-09T22:47:25.512743,False
SEN-038,FAC-008,flow_rate_m3h,112.08,m³/h,2025-10-13T14:42:50.528758,False
SEN-080,FAC-017,turbidity_ntu,1.96,NTU,2026-01-16T23:18:30.805978,False
SEN-059,FAC-012,turbidity_ntu,1.09,NTU,2025-12-13T09:59:56.030066,False
SEN-087,FAC-018,flow_rate_m3h,279.81,m³/h,2025-12-09T11:33:55.419979,False
SEN-036,FAC-008,temperature_c,24.06,°C,2025-10-06T23:27:51.267521,False
SEN-054,FAC-012,dissolved_o2,4.54,mg/L,2025-11-16T12:06:30.552821,False
SEN-050,FAC-011,turbidity_ntu,1.35,NTU,2025-12-11T21:23:21.427520,False
SEN-058,FAC-012,ph,7.27,pH,2026-01-25T23:15:46.166666,False
SEN-005,FAC-001,pressure_bar,5.09,bar,2025-11-07T14:56:42.044726,False
SEN-044,FAC-010,conductivity_us,745.11,µS/cm,2025-11-30T05:16:37.153826,False
SEN-094,FAC-020,ph,8.35,pH,2025-12-17T19:59:58.755746,False
SEN-096,FAC-020,pressure_bar,6.38,bar,2025-12-14T12:53:10.268083,True
SEN-041,FAC-009,chlorine_mg_l,1.35,mg/L,2026-02-11T13:27:56.427103,False
SEN-005,FAC-001,pressure_bar,4.85,bar,2025-10-25T05:34:10.037306,False
SEN-014,FAC-003,temperature_c,15.06,°C,2026-01-27T22:46:13.514374,False
SEN-059,FAC-012,turbidity_ntu,3.21,NTU,2026-01-10T14:44:54.271554,False
SEN-055,FAC-012,flow_rate_m3h,330.47,m³/h,2025-10-16T03:07:24.799571,False
SEN-041,FAC-009,chlorine_mg_l,0.53,mg/L,2025-12-01T12:38:54.593710,False
SEN-040,FAC-009,temperature_c,7.37,°C,2025-11-09T13:17:06.247096,False
SEN-043,FAC-009,dissolved_o2,8.45,mg/L,2026-01-16T01:57:17.365611,False
SEN-058,FAC-012,ph,6.72,pH,2025-10-22T19:23:33.353619,False
SEN-042,FAC-009,flow_rate_m3h,377.7,m³/h,2025-12-22T09:10:48.738891,False
SEN-009,FAC-002,conductivity_us,286.14,µS/cm,2026-01-24T12:42:56.500385,False
SEN-016,FAC-003,conductivity_us,494.33,µS/cm,2025-12-24T07:57:52.766027,False
SEN-083,FAC-017,ph,7.52,pH,2026-02-14T18:27:58.876126,False
SEN-022,FAC-005,ph,8.41,pH,2025-12-27T08:59:59.565867,False
SEN-080,FAC-017,turbidity_ntu,0.1,NTU,2025-12-19T11:22:53.477588,False
SEN-013,FAC-003,dissolved_o2,6.78,mg/L,2026-02-27T21:47:56.089836,False
SEN-043,FAC-009,dissolved_o2,5.55,mg/L,2026-01-15T23:44:37.945399,False
SEN-008,FAC-002,turbidity_ntu,1.11,NTU,2025-12-08T08:38:21.327747,False
SEN-054,FAC-012,dissolved_o2,8.24,mg/L,2025-11-25T06:16:34.410425,False
SEN-052,FAC-011,dissolved_o2,4.17,mg/L,2026-02-01T05:41:22.511787,False
SEN-056,FAC-012,conductivity_us,700.77,µS/cm,2025-11-08T06:58:06.465815,False
SEN-091,FAC-019,turbidity_ntu,0.38,NTU,2026-01-21T11:02:37.392763,False
SEN-001,FAC-001,chlorine_mg_l,2.21,mg/L,2026-01-26T15:38:16.385490,True
SEN-048,FAC-011,ph,6.8,pH,2026-01-25T03:12:41.252901,False
SEN-016,FAC-003,conductivity_us,453.69,µS/cm,2026-02-23T08:22:07.444763,False
SEN-006,FAC-001,temperature_c,24.84,°C,2025-12-12T22:33:44.879302,False
SEN-075,FAC-016,temperature_c,19.81,°C,2025-10-27T11:16:25.952104,False
SEN-072,FAC-015,temperature_c,22.97,°C,2026-01-21T08:58:09.526122,False
SEN-040,FAC-009,temperature_c,23.48,°C,2026-01-20T09:30:23.452017,False
SEN-034,FAC-007,chlorine_mg_l,1.48,mg/L,2025-12-26T08:36:12.668325,False
SEN-095,FAC-020,temperature_c,22.92,°C,2025-11-26T05:24:08.085532,False
SEN-083,FAC-017,ph,7.46,pH,2025-10-30T05:39:44.204779,False
SEN-053,FAC-011,conductivity_us,694.41,µS/cm,2025-11-18T06:07:48.875521,False
SEN-036,FAC-008,temperature_c,23.79,°C,2025-12-16T07:25:29.612217,False
SEN-060,FAC-013,turbidity_ntu,2.81,NTU,2026-02-19T00:04:22.868532,False
SEN-094,FAC-020,ph,7.83,pH,2026-02-14T11:13:49.474236,False
SEN-008,FAC-002,turbidity_ntu,1.29,NTU,2026-02-24T02:06:28.323384,False
SEN-096,FAC-020,pressure_bar,3.42,bar,2026-01-16T02:12:33.538844,False
SEN-008,FAC-002,turbidity_ntu,2.77,NTU,2025-12-14T08:02:05.208267,False
SEN-016,FAC-003,conductivity_us,317.02,µS/cm,2025-11-30T04:41:15.592427,False
SEN-082,FAC-017,pressure_bar,3.16,bar,2025-11-03T15:50:13.623466,False
SEN-003,FAC-001,dissolved_o2,11.7,mg/L,2025-10-24T16:05:57.510478,False
SEN-049,FAC-011,flow_rate_m3h,123.55,m³/h,2025-11-14T00:39:42.082360,False
SEN-026,FAC-006,chlorine_mg_l,0.94,mg/L,2025-11-29T12:38:41.491175,False
SEN-064,FAC-014,conductivity_us,288.6,µS/cm,2026-01-25T11:04:46.713091,False
SEN-001,FAC-001,chlorine_mg_l,1.98,mg/L,2026-02-10T04:50:50.315283,False
SEN-074,FAC-016,dissolved_o2,9.88,mg/L,2025-12-10T07:22:02.329938,False
SEN-057,FAC-012,pressure_bar,4.97,bar,2025-11-18T20:51:46.513489,False
SEN-053,FAC-011,conductivity_us,656.65,µS/cm,2025-10-27T18:24:44.715946,False
SEN-090,FAC-019,ph,7.64,pH,2025-12-31T02:57:43.866208,False
SEN-004,FAC-001,turbidity_ntu,0.84,NTU,2025-12-22T03:55:44.102472,False
SEN-013,FAC-003,dissolved_o2,9.75,mg/L,2025-12-09T06:40:40.764485,False
SEN-018,FAC-004,conductivity_us,300.77,µS/cm,2026-02-10T13:46:40.097740,False
SEN-005,FAC-001,pressure_bar,3.39,bar,2025-11-06T23:40:07.912554,False
SEN-010,FAC-002,flow_rate_m3h,493.61,m³/h,2025-11-04T19:41:03.930534,False
SEN-009,FAC-002,conductivity_us,385.39,µS/cm,2025-12-03T03:37:40.594236,False
SEN-062,FAC-013,flow_rate_m3h,267.42,m³/h,2026-02-01T22:10:48.385028,False
SEN-050,FAC-011,turbidity_ntu,3.96,NTU,2025-12-16T20:32:32.072434,False
SEN-084,FAC-018,dissolved_o2,3.65,mg/L,2025-11-28T14:48:41.057832,True
SEN-014,FAC-003,temperature_c,20.91,°C,2025-11-22T15:18:57.869618,False
SEN-085,FAC-018,temperature_c,12.86,°C,2025-10-10T16:48:02.043221,False
SEN-033,FAC-007,dissolved_o2,12.5,mg/L,2025-11-03T23:09:58.648049,True
SEN-018,FAC-004,conductivity_us,662.48,µS/cm,2025-10-09T07:31:20.117582,False
SEN-092,FAC-019,flow_rate_m3h,275.62,m³/h,2025-11-30T21:24:05.884587,False
SEN-042,FAC-009,flow_rate_m3h,101.7,m³/h,2025-11-05T03:31:19.991015,False
SEN-082,FAC-017,pressure_bar,2.63,bar,2026-02-23T17:53:07.138374,False
SEN-015,FAC-003,ph,7.32,pH,2025-12-24T18:42:29.939824,False
SEN-029,FAC-006,conductivity_us,620.77,µS/cm,2026-02-19T18:10:16.533174,False
SEN-065,FAC-014,ph,8.33,pH,2025-12-09T22:54:09.249365,False
SEN-086,FAC-018,conductivity_us,800.13,µS/cm,2026-02-24T09:35:30.398617,True
SEN-067,FAC-014,flow_rate_m3h,99.81,m³/h,2025-10-18T08:40:49.338472,True
SEN-049,FAC-011,flow_rate_m3h,277.43,m³/h,2025-12-23T16:31:11.583812,False
SEN-084,FAC-018,dissolved_o2,6.37,mg/L,2025-11-19T20:05:40.273291,False
SEN-048,FAC-011,ph,6.72,pH,2025-10-18T20:54:47.415271,False
SEN-057,FAC-012,pressure_bar,6.37,bar,2026-02-25T06:23:54.762950,True
SEN-002,FAC-001,conductivity_us,774.16,µS/cm,2026-01-02T10:25:12.369737,False
SEN-048,FAC-011,ph,6.2,pH,2026-01-28T16:14:10.929334,True
SEN-038,FAC-008,flow_rate_m3h,408.98,m³/h,2025-11-21T13:13:19.829530,False
SEN-087,FAC-018,flow_rate_m3h,434.95,m³/h,2026-02-23T02:20:12.262429,False
SEN-070,FAC-015,turbidity_ntu,2.62,NTU,2026-02-17T21:59:56.511444,False
SEN-041,FAC-009,chlorine_mg_l,1.27,mg/L,2026-02-09T03:19:18.087221,False
SEN-032,FAC-007,temperature_c,5.5,°C,2025-11-27T10:21:08.790794,False
SEN-024,FAC-005,flow_rate_m3h,238.34,m³/h,2025-11-24T22:20:10.041331,False
SEN-062,FAC-013,flow_rate_m3h,480.59,m³/h,2026-02-08T21:12:01.693156,False
SEN-058,FAC-012,ph,7.23,pH,2026-02-07T21:35:48.619208,False
SEN-026,FAC-006,chlorine_mg_l,1.14,mg/L,2025-12-28T04:39:42.261778,False
SEN-028,FAC-006,turbidity_ntu,3.92,NTU,2025-12-08T03:37:58.096928,False
SEN-026,FAC-006,chlorine_mg_l,1.76,mg/L,2026-01-30T02:02:41.757514,False
SEN-043,FAC-009,dissolved_o2,4.16,mg/L,2025-10-10T22:05:40.130493,False
SEN-064,FAC-014,conductivity_us,295.7,µS/cm,2025-10-30T14:29:41.944241,False
SEN-035,FAC-007,ph,6.68,pH,2025-11-11T14:02:02.327927,False
SEN-049,FAC-011,flow_rate_m3h,159.48,m³/h,2026-01-13T23:41:07.086848,False
SEN-056,FAC-012,conductivity_us,348.96,µS/cm,2026-01-30T20:40:05.765429,False
SEN-017,FAC-004,turbidity_ntu,3.16,NTU,2026-02-13T10:36:41.234315,False
SEN-058,FAC-012,ph,8.64,pH,2026-02-26T10:25:49.750132,True
SEN-014,FAC-003,temperature_c,18.82,°C,2025-10-26T04:09:56.007933,False
SEN-093,FAC-020,flow_rate_m3h,346.17,m³/h,2025-12-20T06:52:43.269985,False
SEN-006,FAC-001,temperature_c,16.11,°C,2026-02-09T22:59:53.340257,False
SEN-085,FAC-018,temperature_c,13.95,°C,2026-01-27T15:20:17.105938,False
SEN-039,FAC-008,ph,8.03,pH,2026-02-07T16:18:58.855122,False
SEN-094,FAC-020,ph,8.26,pH,2026-01-30T10:11:25.462566,False
SEN-052,FAC-011,dissolved_o2,7.9,mg/L,2026-02-16T21:25:47.665214,False
SEN-032,FAC-007,temperature_c,4.56,°C,2025-11-18T13:04:11.578705,True
SEN-070,FAC-015,turbidity_ntu,2.43,NTU,2025-10-02T18:54:29.393141,False
SEN-084,FAC-018,dissolved_o2,8.06,mg/L,2025-12-21T23:25:18.190884,False
SEN-035,FAC-007,ph,6.12,pH,2025-10-04T18:35:01.824681,True
SEN-005,FAC-001,pressure_bar,4.96,bar,2026-01-13T05:33:40.939086,False
SEN-007,FAC-002,ph,8.46,pH,2026-01-15T12:44:00.742838,False
SEN-044,FAC-010,conductivity_us,510.93,µS/cm,2026-02-01T12:58:00.127955,False
SEN-056,FAC-012,conductivity_us,554.79,µS/cm,2025-10-06T16:55:52.849169,False
SEN-024,FAC-005,flow_rate_m3h,411.16,m³/h,2026-02-27T22:44:24.509186,False
SEN-013,FAC-003,dissolved_o2,7.32,mg/L,2025-11-15T12:27:30.549054,False
SEN-003,FAC-001,dissolved_o2,11.69,mg/L,2025-10-12T06:18:38.985917,False
SEN-038,FAC-008,flow_rate_m3h,485.12,m³/h,2026-02-02T10:03:22.348833,False
SEN-034,FAC-007,chlorine_mg_l,0.41,mg/L,2026-01-14T20:20:59.236716,False
SEN-093,FAC-020,flow_rate_m3h,326.39,m³/h,2026-02-07T14:13:12.490961,False
SEN-051,FAC-011,pressure_bar,2.21,bar,2026-01-31T17:41:13.349460,False
SEN-035,FAC-007,ph,8.15,pH,2026-01-26T12:19:00.037030,False
SEN-034,FAC-007,chlorine_mg_l,1.44,mg/L,2025-11-18T03:42:50.369368,False
SEN-010,FAC-002,flow_rate_m3h,255.52,m³/h,2026-02-07T07:07:34.658552,False
SEN-020,FAC-004,ph,6.11,pH,2025-11-08T22:58:46.824036,True
SEN-056,FAC-012,conductivity_us,781.17,µS/cm,2025-11-23T02:13:32.052501,False
SEN-092,FAC-019,flow_rate_m3h,147.99,m³/h,2025-12-02T22:27:03.941481,False
SEN-046,FAC-010,temperature_c,22.21,°C,2025-12-16T20:14:47.839138,False
SEN-013,FAC-003,dissolved_o2,6.28,mg/L,2025-12-26T04:55:05.080740,False
SEN-045,FAC-010,ph,7.11,pH,2026-02-17T01:37:24.930322,False
SEN-073,FAC-016,pressure_bar,3.58,bar,2026-01-06T09:16:58.703669,False
SEN-051,FAC-011,pressure_bar,2.16,bar,2025-11-27T20:13:45.338647,False
SEN-093,FAC-020,flow_rate_m3h,325.42,m³/h,2025-11-18T10:39:46.585274,False
SEN-017,FAC-004,turbidity_ntu,3.39,NTU,2025-10-04T10:40:51.442543,False
SEN-019,FAC-004,dissolved_o2,11.15,mg/L,2026-02-24T20:20:56.176744,False
SEN-071,FAC-015,ph,7.27,pH,2025-10-15T02:29:26.031772,False
SEN-024,FAC-005,flow_rate_m3h,457.04,m³/h,2026-01-09T10:12:16.412262,False
SEN-073,FAC-016,pressure_bar,5.36,bar,2026-01-25T21:24:25.737827,False
SEN-063,FAC-013,dissolved_o2,8.35,mg/L,2025-10-18T18:51:07.537478,False
SEN-096,FAC-020,pressure_bar,1.7,bar,2025-12-26T11:47:29.098298,True
SEN-040,FAC-009,temperature_c,5.72,°C,2025-11-02T21:17:31.177464,False
SEN-035,FAC-007,ph,8.35,pH,2026-02-04T01:26:14.395181,False
SEN-087,FAC-018,flow_rate_m3h,305.98,m³/h,2025-11-22T22:19:58.665062,False
SEN-070,FAC-015,turbidity_ntu,0.5,NTU,2025-10-26T19:08:40.681750,False
SEN-056,FAC-012,conductivity_us,423.73,µS/cm,2025-12-31T23:36:32.325267,False
SEN-023,FAC-005,pressure_bar,5.66,bar,2025-12-02T05:13:57.498652,False
SEN-019,FAC-004,dissolved_o2,7.48,mg/L,2025-10-25T11:38:14.247970,False
SEN-031,FAC-007,conductivity_us,341.57,µS/cm,2026-01-29T22:19:18.262891,False
SEN-061,FAC-013,ph,8.31,pH,2025-10-19T09:57:25.422705,False
SEN-027,FAC-006,pressure_bar,4.43,bar,2026-01-21T21:20:14.108510,False
SEN-045,FAC-010,ph,7.77,pH,2025-12-10T13:04:41.371829,False
SEN-072,FAC-015,temperature_c,20.58,°C,2025-10-05T21:46:40.902225,False
SEN-018,FAC-004,conductivity_us,210.65,µS/cm,2026-02-07T03:13:02.061437,False
SEN-064,FAC-014,conductivity_us,783.9,µS/cm,2025-12-03T01:46:52.264068,False
SEN-073,FAC-016,pressure_bar,5.47,bar,2025-10-03T15:49:42.327193,False
SEN-096,FAC-020,pressure_bar,5.03,bar,2025-11-12T22:32:54.543648,False
SEN-059,FAC-012,turbidity_ntu,1.46,NTU,2025-11-02T00:46:10.193390,False
SEN-013,FAC-003,dissolved_o2,10.71,mg/L,2025-11-12T06:44:52.141650,False
SEN-032,FAC-007,temperature_c,5.61,°C,2025-11-02T13:03:52.105027,False
SEN-031,FAC-007,conductivity_us,274.22,µS/cm,2025-12-19T06:55:01.544387,False
SEN-085,FAC-018,temperature_c,24.33,°C,2026-02-06T12:16:55.991572,False
SEN-082,FAC-017,pressure_bar,1.64,bar,2026-02-21T22:55:37.992191,True
SEN-033,FAC-007,dissolved_o2,9.17,mg/L,2025-10-21T08:40:34.078936,False
SEN-007,FAC-002,ph,6.7,pH,2026-01-08T06:43:22.779282,False
SEN-008,FAC-002,turbidity_ntu,2.21,NTU,2025-12-16T09:28:07.481685,False
SEN-032,FAC-007,temperature_c,21.92,°C,2025-10-27T00:18:04.286948,False
SEN-003,FAC-001,dissolved_o2,9.14,mg/L,2025-12-07T01:04:32.258581,False
SEN-092,FAC-019,flow_rate_m3h,348.35,m³/h,2025-11-21T20:51:09.924679,False
SEN-029,FAC-006,conductivity_us,759.92,µS/cm,2026-02-17T20:43:09.400533,False
SEN-019,FAC-004,dissolved_o2,5.69,mg/L,2025-11-03T21:30:59.546656,False
SEN-079,FAC-017,chlorine_mg_l,0.67,mg/L,2025-11-24T00:18:01.061615,False
SEN-098,FAC-020,turbidity_ntu,1.8,NTU,2025-10-28T05:14:56.642560,False
SEN-059,FAC-012,turbidity_ntu,1.78,NTU,2025-11-20T20:40:37.677717,False
SEN-022,FAC-005,ph,7.82,pH,2025-12-18T04:11:48.472358,False
SEN-045,FAC-010,ph,6.7,pH,2026-02-16T20:03:22.145195,False
SEN-068,FAC-014,dissolved_o2,11.96,mg/L,2025-11-04T02:11:14.786268,False
SEN-049,FAC-011,flow_rate_m3h,192.12,m³/h,2026-02-02T01:34:35.632018,False
SEN-092,FAC-019,flow_rate_m3h,295.67,m³/h,2026-02-02T19:51:58.809873,False
SEN-039,FAC-008,ph,8.07,pH,2026-01-22T17:13:59.139312,False
SEN-086,FAC-018,conductivity_us,398.74,µS/cm,2026-01-12T05:01:13.116939,False
SEN-089,FAC-019,dissolved_o2,10.17,mg/L,2025-11-06T23:42:10.004131,False
SEN-085,FAC-018,temperature_c,16.88,°C,2025-12-07T01:27:58.385804,False
SEN-061,FAC-013,ph,7.27,pH,2026-01-14T05:37:30.980290,False
SEN-093,FAC-020,flow_rate_m3h,372.99,m³/h,2025-10-27T15:34:10.809031,False
SEN-044,FAC-010,conductivity_us,587.13,µS/cm,2025-10-09T04:27:13.257493,False
SEN-041,FAC-009,chlorine_mg_l,0.35,mg/L,2025-12-02T22:52:16.384401,False
SEN-086,FAC-018,conductivity_us,484.52,µS/cm,2026-02-20T12:55:05.781930,False
